时间,商品名称,库存变化,单笔销量
2026-09-01 21:31:08,yeti,初始库存: 50154,351
2026-09-01 21:40:12,yeti,50154->50153,1
2026-09-01 21:42:56,yeti,50153->50152,1
2026-09-01 21:49:08,yeti,50152->50151,1
2026-09-01 21:49:29,yeti,50151->50139,12
2026-09-01 21:50:49,yeti,50139->50138,1
2026-09-01 21:51:11,yeti,50138->50150,-12
2026-09-01 21:54:20,yeti,50150->50149,1
2026-09-01 22:01:24,yeti,50149->50146,3
2026-09-01 22:12:40,yeti,50146->50143,3
2026-09-01 22:19:37,yeti,50143->50142,1
2026-09-01 22:24:57,yeti,50142->50141,1
2026-09-01 22:27:09,yeti,50141->50139,2
2026-09-01 22:30:51,yeti,50139->50138,1
2026-09-01 22:42:41,yeti,50138->50135,3
2026-09-01 22:43:25,yeti,50135->50134,1
2026-09-01 22:53:14,yeti,50134->50133,1
2026-09-01 22:57:03,yeti,50133->50131,2
2026-09-01 23:02:44,yeti,50131->50130,1
2026-09-01 23:11:30,yeti,50130->50129,1
2026-09-01 23:13:07,yeti,50129->50126,3
2026-09-01 23:19:32,yeti,50126->50125,1
2026-09-01 23:27:00,yeti,50125->50124,1
2026-09-01 23:45:04,yeti,50124->50123,1
2026-09-01 23:49:27,yeti,50123->50120,3
2026-09-01 23:52:33,yeti,50120->50117,3
2026-09-01 23:57:59,yeti,50117->50114,3
2026-09-01 23:58:53,yeti,50114->50111,3
2026-09-02 00:05:18,yeti,50111->50110,1
2026-09-02 00:10:58,yeti,50110->50107,3
2026-09-02 00:11:21,yeti,50107->50106,1
2026-09-02 00:20:27,yeti,50106->50105,1
2026-09-02 00:24:08,yeti,50105->50104,1
2026-09-02 00:25:11,yeti,50104->50105,-1
2026-09-02 00:29:48,yeti,50105->50104,1
2026-09-02 00:34:59,yeti,50104->50103,1
2026-09-02 00:46:52,yeti,50103->50102,1
2026-09-02 00:47:56,yeti,50102->50101,1
2026-09-02 00:48:38,yeti,50101->50100,1
2026-09-02 00:50:45,yeti,50100->50099,1
2026-09-02 00:52:00,yeti,50099->50100,-1
2026-09-02 01:05:42,yeti,50100->50097,3
2026-09-02 01:11:17,yeti,50097->50094,3
2026-09-02 01:12:11,yeti,50094->50093,1
2026-09-02 01:12:43,yeti,50093->50090,3
2026-09-02 01:13:29,yeti,50090->50093,-3
2026-09-02 01:14:34,yeti,50093->50091,2
2026-09-02 01:50:23,yeti,50091->50067,24
2026-09-02 01:50:54,yeti,50067->50043,24
2026-09-02 01:51:46,yeti,50043->50019,24
2026-09-02 01:52:07,yeti,50019->50067,-48
2026-09-02 01:52:49,yeti,50067->50043,24
2026-09-02 01:53:09,yeti,50043->50067,-24
2026-09-02 01:54:02,yeti,50067->50091,-24
2026-09-02 01:55:56,yeti,50091->50088,3
2026-09-02 01:57:10,yeti,50088->50091,-3
